"File","Name","Hits","ExternalHits"
".\backend\src\signatures\signatures.service.spec.ts","signatures.service.spec","104","101"
".\backend\src\signatures\signatures.service.ts","signatures.service","135","132"
".\backend\src\sites\sites.controller.spec.ts","sites.controller.spec","4","1"
".\backend\src\sites\sites.controller.ts","sites.controller","14","11"
".\backend\src\sites\sites.module.ts","sites.module","10","7"
".\backend\src\sites\sites.service.spec.ts","sites.service.spec","4","1"
".\backend\src\sites\sites.service.ts","sites.service","19","16"
".\backend\src\smoke\compliance-flows.smoke-spec.ts","compliance-flows.smoke-spec","4","1"
".\backend\src\smoke\dashboard-document-pendencies.smoke-spec.ts","dashboard-document-pendencies.smoke-spec","4","1"
".\backend\src\smoke\document-flows.smoke-spec.ts","document-flows.smoke-spec","12","9"
".\backend\src\sophie\sophie.controller.ts","sophie.controller","10","7"
".\backend\src\sophie\sophie.engine.service.ts","sophie.engine.service","12","9"
".\backend\src\sophie\sophie.local-chat.service.ts","sophie.local-chat.service","12","9"
".\backend\src\sophie\sophie.module.ts","sophie.module","10","7"
".\backend\src\sophie\sophie.types.ts","sophie.types","20","17"
".\backend\src\storage\storage.controller.p1.spec.ts","storage.controller.p1.spec","4","1"
".\backend\src\storage\storage.controller.spec.ts","storage.controller.spec","4","1"
".\backend\src\storage\storage.controller.ts","storage.controller","20","17"
".\backend\src\storage\storage.module.ts","storage.module","19","16"
".\backend\src\tasks\cleanup.task.spec.ts","cleanup.task.spec","4","1"
".\backend\src\tasks\cleanup.task.ts","cleanup.task","14","11"
".\backend\src\tasks\document-retention.processor.ts","document-retention.processor","9","6"
".\backend\src\tasks\document-retention.scheduler.ts","document-retention.scheduler","9","6"
".\backend\src\tasks\document-retention-worker.module.ts","document-retention-worker.module","9","6"
